item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date,region
절임배추,266,가을(20kg),3,상품,4,20kg,당일 (11/01),"71,083",1일전 (10/31),"75,320",1주일전 (10/25),-,2주일전 (10/18),-,1개월전,-,1년전,"45,627",일평년,"45,627",2024-11-01,서울
절임배추,266,가을(20kg),3,상품,4,20kg,당일 (11/02),-,1일전 (11/01),"71,083",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,-,1년전,"45,627",일평년,"45,627",2024-11-02,서울
절임배추,266,가을(20kg),3,상품,4,20kg,당일 (11/04),"71,083",1일전 (11/03),-,1주일전 (10/28),-,2주일전 (10/21),-,1개월전,-,1년전,"45,627",일평년,"45,627",2024-11-04,서울
절임배추,266,가을(20kg),3,상품,4,20kg,당일 (11/05),"71,083",1일전 (11/04),"71,083",1주일전 (10/29),-,2주일전 (10/22),-,1개월전,-,1년전,"45,627",일평년,"45,627",2024-11-05,서울
절임배추,266,가을(20kg),3,상품,4,20kg,당일 (11/06),"71,083",1일전 (11/05),"71,083",1주일전 (10/30),-,2주일전 (10/23),-,1개월전,-,1년전,"45,627",일평년,"45,627",2024-11-06,서울
절임배추,266,가을(20kg),3,상품,4,20kg,당일 (11/07),"54,960",1일전 (11/06),"71,083",1주일전 (10/31),"75,320",2주일전 (10/24),-,1개월전,-,1년전,"45,627",일평년,"45,627",2024-11-07,서울
절임배추,266,가을(20kg),3,상품,4,20kg,당일 (11/08),"54,960",1일전 (11/07),"54,960",1주일전 (11/01),"71,083",2주일전 (10/25),-,1개월전,-,1년전,"45,627",일평년,"45,627",2024-11-08,서울
절임배추,266,가을(20kg),3,상품,4,20kg,당일 (11/11),"60,000",1일전 (11/10),-,1주일전 (11/04),"71,083",2주일전 (10/28),-,1개월전,-,1년전,"48,516",일평년,"48,516",2024-11-11,서울
절임배추,266,가을(20kg),3,상품,4,20kg,당일 (11/12),"52,600",1일전 (11/11),"60,000",1주일전 (11/05),"71,083",2주일전 (10/29),-,1개월전,-,1년전,"48,516",일평년,"48,516",2024-11-12,서울
절임배추,266,가을(20kg),3,상품,4,20kg,당일 (11/13),"54,600",1일전 (11/12),"52,600",1주일전 (11/06),"71,083",2주일전 (10/30),-,1개월전,-,1년전,"48,516",일평년,"48,516",2024-11-13,서울
절임배추,266,가을(20kg),3,상품,4,20kg,당일 (11/14),"61,250",1일전 (11/13),"54,600",1주일전 (11/07),"54,960",2주일전 (10/31),"75,320",1개월전,-,1년전,"48,516",일평년,"48,516",2024-11-14,서울
절임배추,266,가을(20kg),3,상품,4,20kg,당일 (11/15),"61,250",1일전 (11/14),"61,250",1주일전 (11/08),"54,960",2주일전 (11/01),"71,083",1개월전,-,1년전,"48,516",일평년,"48,516",2024-11-15,서울
절임배추,266,가을(20kg),3,상품,4,20kg,당일 (11/18),"61,250",1일전 (11/17),-,1주일전 (11/11),"60,000",2주일전 (11/04),"71,083",1개월전,-,1년전,"48,516",일평년,"48,516",2024-11-18,서울
절임배추,266,가을(20kg),03,상품,04,20kg,당일 (11/19),"61,250",1일전 (11/18),"61,250",1주일전 (11/12),"52,600",2주일전 (11/05),"71,083",1개월전,-,1년전,"48,516",일평년,"48,516",2024-11-19,서울
